Forename,Surname,Name (Display as),Name (List as),Party,Constituency,Email,Address 1,Address 2,Postcode
Nigel,Huddleston,Nigel Huddleston,"Huddleston, Nigel",Conservative,Mid Worcestershire,nigel.huddleston.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,McDonald,Andy McDonald,"McDonald, Andy",Labour,Middlesbrough,andy.mcdonald.2nd@parliament.uk,House of Commons,London,SW1A 0AA
Simon,Clarke,Mr Simon Clarke,"Clarke, Mr Simon",Conservative,Middlesbrough South and East Cleveland,simon.clarke.mp@parliament.uk,House of Commons,London,SW1A 0AA
Owen,Thompson,Owen Thompson,"Thompson, Owen",Scottish National Party,Midlothian,owen.thompson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ben,Everitt,Ben Everitt,"Everitt, Ben",Conservative,Milton Keynes North,ben.everitt.mp@parliament.uk,House of Commons,London,SW1A 0AA
Iain,Stewart,Iain Stewart,"Stewart, Iain",Conservative,Milton Keynes South,iain.stewart.mp@parliament.uk,House of Commons,London,SW1A 0AA
Siobhain,McDonagh,Siobhain McDonagh,"McDonagh, Siobhain",Labour,Mitcham and Morden,mcdonaghs@parliament.uk,House of Commons,London,SW1A 0AA
Alexander,Beresford,Sir Paul Beresford,"Beresford, Sir Paul",Conservative,Mole Valley,annie.winsbury@parliament.uk,House of Commons,London,SW1A 0AA
David,Davies,David T C Davies,"Davies, David T C",Conservative,Monmouth,david.davies.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alun Craig,Williams,Craig Williams,"Williams, Craig",Conservative,Montgomeryshire,craig.williams.mp@parliament.uk,House of Commons,London,SW1A 0AA
Douglas,Ross,Douglas Ross,"Ross, Douglas",Conservative,Moray,douglas.ross.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Morris,David Morris,"Morris, David",Conservative,Morecambe and Lunesdale,david.morris.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrea,Jenkyns,Andrea Jenkyns,"Jenkyns, Andrea",Conservative,Morley and Outwood,andrea.jenkyns.mp@parliament.uk,House of Commons,London,SW1A 0AA
Marion,Fellows,Marion Fellows,"Fellows, Marion",Scottish National Party,Motherwell and Wishaw,marion.fellows.mp@parliament.uk,House of Commons,London,SW1A 0AA
Angus,MacNeil,Angus Brendan MacNeil,"MacNeil, Angus Brendan",Scottish National Party,Na h-Eileanan an Iar,macneila@parliament.uk,House of Commons,London,SW1A 0AA
Christina,Rees,Christina Rees,"Rees, Christina",Independent,Neath,christina.rees.mp@parliament.uk,House of Commons,London,SW1A 0AA
Julian,Lewis,Dr Julian Lewis,"Lewis, Dr Julian",Conservative,New Forest East,,House of Commons,London,SW1A 0AA
Desmond,Swayne,Sir Desmond Swayne,"Swayne, Sir Desmond",Conservative,New Forest West,swayned@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Jenrick,Robert Jenrick,"Jenrick, Robert",Conservative,Newark,robert.jenrick.mp@parliament.uk,House of Commons,London,SW1A 0AA
Laura,Farris,Laura Farris,"Farris, Laura",Conservative,Newbury,laura.farris.mp@parliament.uk,House of Commons,London,SW1A 0AA
Chinyelu,Onwurah,Chi Onwurah,"Onwurah, Chi",Labour,Newcastle upon Tyne Central,chi.onwurah.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nicholas,Brown,Mr Nicholas Brown,"Brown, Mr Nicholas",Independent,Newcastle upon Tyne East,nickbrownmp@parliament.uk,House of Commons,London,SW1A 0AA
Catherine,McKinnell,Catherine McKinnell,"McKinnell, Catherine",Labour,Newcastle upon Tyne North,catherine.mckinnell.mp@parliament.uk,House of Commons,London,SW1A 0AA
Aaron,Bell,Aaron Bell,"Bell, Aaron",Conservative,Newcastle-under-Lyme,aaron.bell.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jessica,Morden,Jessica Morden,"Morden, Jessica",Labour,Newport East,mordenj@parliament.uk,House of Commons,London,SW1A 0AA
Ruth,Jones,Ruth Jones,"Jones, Ruth",Labour,Newport West,ruth.jones.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Brady,Mickey Brady,"Brady, Mickey",Sinn Féin,Newry and Armagh,mickey.brady.mp@parliament.uk,House of Commons,London,SW1A 0AA
Anne Marie,Morris,Anne Marie Morris,"Morris, Anne Marie",Conservative,Newton Abbot,annemarie.morris.mp@parliament.uk,House of Commons,London,SW1A 0AA
Yvette,Cooper,Yvette Cooper,"Cooper, Yvette",Labour,"Normanton, Pontefract and Castleford",coopery@parliament.uk,House of Commons,London,SW1A 0AA
Ian,Paisley,Ian Paisley,"Paisley, Ian",Democratic Unionist Party,North Antrim,ian.paisley.mp@parliament.uk,House of Commons,London,SW1A 0AA
Patricia,Gibson,Patricia Gibson,"Gibson, Patricia",Scottish National Party,North Ayrshire and Arran,patricia.gibson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Scott,Mann,Scott Mann,"Mann, Scott",Conservative,North Cornwall,scott.mann.mp@parliament.uk,House of Commons,London,SW1A 0AA
Selaine,Saxby,Selaine Saxby,"Saxby, Selaine",Conservative,North Devon,selaine.saxby.mp@parliament.uk,House of Commons,London,SW1A 0AA
Simon,Hoare,Simon Hoare,"Hoare, Simon",Conservative,North Dorset,simon.hoare.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Farry,Stephen Farry,"Farry, Stephen",Alliance,North Down,stephen.farry.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kevan,Jones,Mr Kevan Jones,"Jones, Mr Kevan",Labour,North Durham,kevanjonesmp@parliament.uk,House of Commons,London,SW1A 0AA
Richard,Fuller,Richard Fuller,"Fuller, Richard",Conservative,North East Bedfordshire,richard.fuller.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Barclay,Steve Barclay,"Barclay, Steve",Conservative,North East Cambridgeshire,stephen.barclay.mp@parliament.uk,House of Commons,London,SW1A 0AA
Lee,Rowley,Lee Rowley,"Rowley, Lee",Conservative,North East Derbyshire,lee.rowley.mp@parliament.uk,House of Commons,London,SW1A 0AA
Wendy,Chamberlain,Wendy Chamberlain,"Chamberlain, Wendy",Liberal Democrat,North East Fife,wendy.chamberlain.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ranil,Jayawardena,Mr Ranil Jayawardena,"Jayawardena, Mr Ranil",Conservative,North East Hampshire,,House of Commons,London,SW1A 0AA
Oliver,Heald,Sir Oliver Heald,"Heald, Sir Oliver",Conservative,North East Hertfordshire,Oliver.heald.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jacob,Rees-Mogg,Mr Jacob Rees-Mogg,"Rees-Mogg, Mr Jacob",Conservative,North East Somerset,jacob.reesmogg.mp@parliament.uk,House of Commons,London,SW1A 0AA
William,Wiggin,Sir Bill Wiggin,"Wiggin, Sir Bill",Conservative,North Herefordshire,bill.wiggin.mp@parliament.uk,House of Commons,London,SW1A 0AA
Duncan,Baker,Duncan Baker,"Baker, Duncan",Conservative,North Norfolk,,House of Commons,London,SW1A 0AA
Helen,Morgan,Helen Morgan,"Morgan, Helen",Liberal Democrat,North Shropshire,helen.morgan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Liam,Fox,Dr Liam Fox,"Fox, Dr Liam",Conservative,North Somerset,liam.fox.mp@parliament.uk ,House of Commons,London,SW1A 0AA
Justin,Tomlinson,Justin Tomlinson,"Tomlinson, Justin",Conservative,North Swindon,justin.tomlinson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Roger,Gale,Sir Roger Gale,"Gale, Sir Roger",Conservative,North Thanet,galerj@parliament.uk,House of Commons,London,SW1A 0AA
Mary,Glindon,Mary Glindon,"Glindon, Mary",Labour,North Tyneside,mary.glindon.mp@parliament.uk,House of Commons,London,SW1A 0AA
Craig,Tracey,Craig Tracey,"Tracey, Craig",Conservative,North Warwickshire,craig.tracey.mp@parliament.uk,House of Commons,London,SW1A 0AA
Shailesh,Vara,Shailesh Vara,"Vara, Shailesh",Conservative,North West Cambridgeshire,shailesh.vara.mp@parliament.uk,House of Commons,London,SW1A 0AA
Richard,Holden,Mr Richard Holden,"Holden, Mr Richard",Conservative,North West Durham,richard.holden.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Malthouse,Kit Malthouse,"Malthouse, Kit",Conservative,North West Hampshire,kit.malthouse.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Bridgen,Andrew Bridgen,"Bridgen, Andrew",Conservative,North West Leicestershire,andrew.bridgen.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Wild,James Wild,"Wild, James",Conservative,North West Norfolk,james.wild.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Gray,James Gray,"Gray, James",Conservative,North Wiltshire,jamesgraymp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Ellis,Michael Ellis,"Ellis, Michael",Conservative,Northampton North,michael.ellis.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Lewer,Andrew Lewer,"Lewer, Andrew",Conservative,Northampton South,andrew.lewer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Chloe,Smith,Chloe Smith,"Smith, Chloe",Conservative,Norwich North,,House of Commons,London,SW1A 0AA
Clive,Lewis,Clive Lewis,"Lewis, Clive",Labour,Norwich South,clive.lewis.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nadia,Whittome,Nadia Whittome,"Whittome, Nadia",Labour,Nottingham East,nadia.whittome.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alexander,Norris,Alex Norris,"Norris, Alex",Labour,Nottingham North,alex.norris.mp@parliament.uk,House of Commons,London,SW1A 0AA
Lilian,Greenwood,Lilian Greenwood,"Greenwood, Lilian",Labour,Nottingham South,lilian.greenwood.mp@parliament.uk,House of Commons,London,SW1A 0AA
Marcus,Jones,Mr Marcus Jones,"Jones, Mr Marcus",Conservative,Nuneaton,marcus.jones.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Nicolson,John Nicolson,"Nicolson, John",Scottish National Party,Ochil and South Perthshire,john.nicolson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Elmore,Chris Elmore,"Elmore, Chris",Labour,Ogmore,Chris.Elmore.mp@parliament.uk,House of Commons,London,SW1A 0AA
Louie,French,Mr Louie French,"French, Mr Louie",Conservative,Old Bexley and Sidcup,louie.french.mp@parliament.uk,House of Commons,London,SW1A 0AA
Deborah,Abrahams,Debbie Abrahams,"Abrahams, Debbie",Labour,Oldham East and Saddleworth,abrahamsd@parliament.uk,House of Commons,London,SW1A 0AA
James,McMahon,Jim McMahon,"McMahon, Jim",Labour,Oldham West and Royton,jim.mcmahon.mp@parliament.uk ,House of Commons,London,SW1A 0AA
Alexander,Carmichael,Mr Alistair Carmichael,"Carmichael, Mr Alistair",Liberal Democrat,Orkney and Shetland,carmichaela@parliament.uk,House of Commons,London,SW1A 0AA
Gareth,Bacon,Gareth Bacon,"Bacon, Gareth",Conservative,Orpington,gareth.bacon.mp@parliament.uk,House of Commons,London,SW1A 0AA
Anneliese,Dodds,Anneliese Dodds,"Dodds, Anneliese",Labour,Oxford East,anneliese.dodds.mp@parliament.uk,House of Commons,London,SW1A 0AA
Layla,Moran,Layla Moran,"Moran, Layla",Liberal Democrat,Oxford West and Abingdon,layla.moran.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gavin,Newlands,Gavin Newlands,"Newlands, Gavin",Scottish National Party,Paisley and Renfrewshire North,gavin.newlands.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mhairi,Black,Mhairi Black,"Black, Mhairi",Scottish National Party,Paisley and Renfrewshire South,mhairi.black.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Stephenson,Andrew Stephenson,"Stephenson, Andrew",Conservative,Pendle,andrew.stephenson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Miriam,Cates,Miriam Cates,"Cates, Miriam",Conservative,Penistone and Stocksbridge,miriam.cates.mp@parliament.uk,House of Commons,London,SW1A 0AA
Neil,Hudson,Dr Neil Hudson,"Hudson, Dr Neil",Conservative,Penrith and The Border,neil.hudson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Peter,Wishart,Pete Wishart,"Wishart, Pete",Scottish National Party,Perth and North Perthshire,pete.wishart.mp@parliament.uk,House of Commons,London,SW1A 0AA
Paul,Bristow,Paul Bristow,"Bristow, Paul",Conservative,Peterborough,paul.bristow.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Mercer,Johnny Mercer,"Mercer, Johnny",Conservative,"Plymouth, Moor View",johnny.mercer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Luke,Pollard,Luke Pollard,"Pollard, Luke",Labour,"Plymouth, Sutton and Devonport",luke.pollard.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alexandra,Davies-Jones,Alex Davies-Jones,"Davies-Jones, Alex",Labour,Pontypridd,alex.daviesjones.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Syms,Sir Robert Syms,"Syms, Sir Robert",Conservative,Poole,symsmp.office@parliament.uk,House of Commons,London,SW1A 0AA
Apsana,Begum,Apsana Begum,"Begum, Apsana",Labour,Poplar and Limehouse,apsana.begum.mp@parliament.uk,House of Commons,London,SW1A 0AA
Penelope,Mordaunt,Penny Mordaunt,"Mordaunt, Penny",Conservative,Portsmouth North,penny.mordaunt.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Morgan,Stephen Morgan,"Morgan, Stephen",Labour,Portsmouth South,stephen.morgan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Crabb,Stephen Crabb,"Crabb, Stephen",Conservative,Preseli Pembrokeshire,stephen.crabb.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Hendrick,Sir Mark Hendrick,"Hendrick, Sir Mark",Labour,Preston,mark.hendrick.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stuart,Andrew,Stuart Andrew,"Andrew, Stuart",Conservative,Pudsey,stuart.andrew.mp@parliament.uk,House of Commons,London,SW1A 0AA
Fleur,Anderson,Fleur Anderson,"Anderson, Fleur",Labour,Putney,fleur.anderson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Francois,Mr Mark Francois,"Francois, Mr Mark",Conservative,Rayleigh and Wickford,mark.francois.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mathew,Rodda,Matt Rodda,"Rodda, Matt",Labour,Reading East,matt.rodda.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alok,Sharma,Alok Sharma,"Sharma, Alok",Conservative,Reading West,alok.sharma.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jacob,Young,Jacob Young,"Young, Jacob",Conservative,Redcar,jacob.young.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rachel,Maclean,Rachel Maclean,"Maclean, Rachel",Conservative,Redditch,rachel.maclean.mp@parliament.uk,House of Commons,London,SW1A 0AA
Crispin,Blunt,Crispin Blunt,"Blunt, Crispin",Conservative,Reigate,crispinbluntmp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Bryant,Chris Bryant,"Bryant, Chris",Labour,Rhondda,chris.bryant.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nigel,Evans,Mr Nigel Evans,"Evans, Mr Nigel",Conservative,Ribble Valley,evansn@parliament.uk,House of Commons,London,SW1A 0AA
Rishi,Sunak,Rishi Sunak,"Sunak, Rishi",Conservative,Richmond (Yorks),rishi.sunak.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sarah,Olney,Sarah Olney,"Olney, Sarah",Liberal Democrat,Richmond Park,sarah.olney.mp@parliament.uk,House of Commons,London,SW1A 0AA
Anthony,Lloyd,Tony Lloyd,"Lloyd, Tony",Labour,Rochdale,tony.lloyd.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kelly,Tolhurst,Kelly Tolhurst,"Tolhurst, Kelly",Conservative,Rochester and Strood,kelly.tolhurst.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Duddridge,Sir James Duddridge,"Duddridge, Sir James",Conservative,Rochford and Southend East,,House of Commons,London,SW1A 0AA
Andrew,Rosindell,Andrew Rosindell,"Rosindell, Andrew",Conservative,Romford,andrew.rosindell.mp@parliament.uk,House of Commons,London,SW1A 0AA
Caroline,Nokes,Caroline Nokes,"Nokes, Caroline",Conservative,Romsey and Southampton North,caroline.nokes.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ian,Blackford,Ian Blackford,"Blackford, Ian",Scottish National Party,"Ross, Skye and Lochaber",ian.blackford.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Berry,Sir Jake Berry,"Berry, Sir Jake",Conservative,Rossendale and Darwen,jake.berry.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alexander,Stafford,Alexander Stafford,"Stafford, Alexander",Conservative,Rother Valley,alexander.stafford.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sarah,Champion,Sarah Champion,"Champion, Sarah",Labour,Rotherham,sarah.champion.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Pawsey,Mark Pawsey,"Pawsey, Mark",Conservative,Rugby,mark.pawsey.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Simmonds,David Simmonds,"Simmonds, David",Conservative,"Ruislip, Northwood and Pinner",david.simmonds.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ben,Spencer,Dr Ben Spencer,"Spencer, Dr Ben",Conservative,Runnymede and Weybridge,ben.spencer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ruth,Edwards,Ruth Edwards,"Edwards, Ruth",Conservative,Rushcliffe,ruth.edwards.mp@parliament.uk,House of Commons,London,SW1A 0AA
Margaret,Ferrier,Margaret Ferrier,"Ferrier, Margaret",Independent,Rutherglen and Hamilton West,margaret.ferrier.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alicia,Kearns,Alicia Kearns,"Kearns, Alicia",Conservative,Rutland and Melton,alicia.kearns.mp@parliament.uk,House of Commons,London,SW1A 0AA
Olukemi,Badenoch,Kemi Badenoch,"Badenoch, Kemi",Conservative,Saffron Walden,kemi.badenoch.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rebecca,Long-Bailey,Rebecca Long Bailey,"Long Bailey, Rebecca",Labour,Salford and Eccles,rebecca.longbailey.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Glen,John Glen,"Glen, John",Conservative,Salisbury,john.glen.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Goodwill,Sir Robert Goodwill,"Goodwill, Sir Robert",Conservative,Scarborough and Whitby,robert.goodwill.mp@parliament.uk,House of Commons,London,SW1A 0AA
Holly,Mumby-Croft,Holly Mumby-Croft,"Mumby-Croft, Holly",Conservative,Scunthorpe,holly.mumbycroft.mp@parliament.uk,House of Commons,London,SW1A 0AA
Paul,Howell,Paul Howell,"Howell, Paul",Conservative,Sedgefield,paul.howell.mp@parliament.uk,House of Commons,London,SW1A 0AA
William,Esterson,Bill Esterson,"Esterson, Bill",Labour,Sefton Central,bill.esterson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nigel,Adams,Nigel Adams,"Adams, Nigel",Conservative,Selby and Ainsty,nigel.adams.mp@parliament.uk,House of Commons,London,SW1A 0AA
Laura,Trott,Laura Trott,"Trott, Laura",Conservative,Sevenoaks,laura.trott.mp@parliament.uk,House of Commons,London,SW1A 0AA
Paul,Blomfield,Paul Blomfield,"Blomfield, Paul",Labour,Sheffield Central,paul.blomfield.mp@parliament.uk,House of Commons,London,SW1A 0AA
Clive,Betts,Mr Clive Betts,"Betts, Mr Clive",Labour,Sheffield South East,officeofclivebettsmp@parliament.uk,House of Commons,London,SW1A 0AA
Gillian,Furniss,Gill Furniss,"Furniss, Gill",Labour,"Sheffield, Brightside and Hillsborough",gill.furniss.mp@parliament.uk,House of Commons,London,SW1A 0AA
Olivia,Blake Dagnall ,Olivia Blake,"Blake, Olivia",Labour,"Sheffield, Hallam",olivia.blake.mp@parliament.uk,House of Commons,London,SW1A 0AA
Louise,Haigh,Louise Haigh,"Haigh, Louise",Labour,"Sheffield, Heeley",louise.haigh.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Spencer,Mark Spencer,"Spencer, Mark",Conservative,Sherwood,mark.spencer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Philip,Davies,Philip Davies,"Davies, Philip",Conservative,Shipley,daviesp@parliament.uk,House of Commons,London,SW1A 0AA
Daniel,Kawczynski,Daniel Kawczynski,"Kawczynski, Daniel",Conservative,Shrewsbury and Atcham,daniel.kawczynski.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gordon,Henderson,Gordon Henderson,"Henderson, Gordon",Conservative,Sittingbourne and Sheppey,gordon.henderson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Julian,Smith,Julian Smith,"Smith, Julian",Conservative,Skipton and Ripon,julian.smith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Caroline,Johnson,Dr Caroline Johnson,"Johnson, Dr Caroline",Conservative,Sleaford and North Hykeham,caroline.johnson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Tanmanjeet,Dhesi,Mr Tanmanjeet Singh Dhesi,"Dhesi, Mr Tanmanjeet Singh",Labour,Slough,tan.dhesi.mp@parliament.uk,House of Commons,London,SW1A 0AA
Julian,Knight,Julian Knight,"Knight, Julian",Conservative,Solihull,julian.knight.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Warburton,David Warburton,"Warburton, David",Independent,Somerton and Frome,david.warburton.mp@parliament.uk,House of Commons,London,SW1A 0AA
William,Girvan,Paul Girvan,"Girvan, Paul",Democratic Unionist Party,South Antrim,paul.girvan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Metcalfe,Stephen Metcalfe,"Metcalfe, Stephen",Conservative,South Basildon and East Thurrock,stephen.metcalfe.mp@parliament.uk,House of Commons,London,SW1A 0AA
Anthony,Browne,Anthony Browne,"Browne, Anthony",Conservative,South Cambridgeshire,anthony.browne.mp@parliament.uk,House of Commons,London,SW1A 0AA
Heather,Wheeler,Mrs Heather Wheeler,"Wheeler, Mrs Heather",Conservative,South Derbyshire,heather.wheeler.mp@parliament.uk,House of Commons,London,SW1A 0AA
Richard,Plunkett-Ernle-Erle-Drax,Richard Drax,"Drax, Richard",Conservative,South Dorset,richard.drax.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Hazzard,Chris Hazzard,"Hazzard, Chris",Sinn Féin,South Down,chris.hazzard.mp@parliament.uk,House of Commons,London,SW1A 0AA
Lucy,Leigh (Frazer),Lucy Frazer,"Frazer, Lucy",Conservative,South East Cambridgeshire,lucy.frazer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sheryll,Murray,Mrs Sheryll Murray,"Murray, Mrs Sheryll",Conservative,South East Cornwall,sheryll.murray.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Hayes,Sir John Hayes,"Hayes, Sir John",Conservative,South Holland and The Deepings,hayesj@parliament.uk,House of Commons,London,SW1A 0AA
Alberto,Costa,Alberto Costa,"Costa, Alberto",Conservative,South Leicestershire,alberto.costa.mp@parliament.uk,House of Commons,London,SW1A 0AA
Richard,Bacon,Mr Richard Bacon,"Bacon, Mr Richard",Conservative,South Norfolk,richardbaconmp@parliament.uk,House of Commons,London,SW1A 0AA
Andrea,Leadsom,Andrea Leadsom,"Leadsom, Andrea",Conservative,South Northamptonshire,andrea.leadsom.mp@parliament.uk,House of Commons,London,SW1A 0AA
Katherine,Fletcher,Katherine Fletcher,"Fletcher, Katherine",Conservative,South Ribble,katherine.fletcher.mp@parliament.uk,House of Commons,London,SW1A 0AA
Emma,Lewell-Buck,Mrs Emma Lewell-Buck,"Lewell-Buck, Mrs Emma",Labour,South Shields,emma.lewell-buck.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gavin,Williamson,Sir Gavin Williamson,"Williamson, Sir Gavin",Conservative,South Staffordshire,gavin.williamson.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Cartlidge,James Cartlidge,"Cartlidge, James",Conservative,South Suffolk,james.cartlidge.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Buckland,Sir Robert Buckland,"Buckland, Sir Robert",Conservative,South Swindon,robert.buckland.mp@parliament.uk,House of Commons,London,SW1A 0AA
Craig,Mackinlay,Craig Mackinlay,"Mackinlay, Craig",Conservative,South Thanet,craig.mackinlay.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Selous,Andrew Selous,"Selous, Andrew",Conservative,South West Bedfordshire,andrew.selous.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gary,Streeter,Sir Gary Streeter,"Streeter, Sir Gary",Conservative,South West Devon,deans@parliament.uk,House of Commons,London,SW1A 0AA
Gagan,Mohindra,Mr Gagan Mohindra,"Mohindra, Mr Gagan",Conservative,South West Hertfordshire,gagan.mohindra.mp@parliament.uk,House of Commons,London,SW1A 0AA
Elizabeth,Truss,Elizabeth Truss,"Truss, Elizabeth",Conservative,South West Norfolk,elizabeth.truss.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jeremy,Hunt,Jeremy Hunt,"Hunt, Jeremy",Conservative,South West Surrey,huntj@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Murrison,Dr Andrew Murrison,"Murrison, Dr Andrew",Conservative,South West Wiltshire,murrisona@parliament.uk,House of Commons,London,SW1A 0AA
Royston,Smith,Royston Smith,"Smith, Royston",Conservative,"Southampton, Itchen",royston.smith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alan,Whitehead,Dr Alan Whitehead,"Whitehead, Dr Alan",Labour,"Southampton, Test",whiteheada@parliament.uk,House of Commons,London,SW1A 0AA
Anna,Firth,Anna Firth,"Firth, Anna",Conservative,Southend West,anna.firth.mp@parliament.uk,House of Commons,London,SW1A 0AA
Damien,Moore,Damien Moore,"Moore, Damien",Conservative,Southport,damien.moore.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kwasi,Kwarteng,Kwasi Kwarteng,"Kwarteng, Kwasi",Conservative,Spelthorne,kwasi.kwarteng.mp@parliament.uk,House of Commons,London,SW1A 0AA
Daisy,Cooper,Daisy Cooper,"Cooper, Daisy",Liberal Democrat,St Albans,daisy.cooper.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Double,Steve Double,"Double, Steve",Conservative,St Austell and Newquay,steve.double.mp@parliament.uk,House of Commons,London,SW1A 0AA
Conor,McGinn,Conor McGinn,"McGinn, Conor",Labour,St Helens North,conor.mcginn.mp@parliament.uk,House of Commons,London,SW1A 0AA
Marie,Rimmer,Ms Marie Rimmer,"Rimmer, Ms Marie",Labour,St Helens South and Whiston,marie.rimmer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Derek,Thomas,Derek Thomas,"Thomas, Derek",Conservative,St Ives,derek.thomas.mp@parliament.uk,House of Commons,London,SW1A 0AA
Theodora,Clarke,Theo Clarke,"Clarke, Theo",Conservative,Stafford,theo.clarke.mp@parliament.uk,House of Commons,London,SW1A 0AA
Karen,Bradley,Karen Bradley,"Bradley, Karen",Conservative,Staffordshire Moorlands,karen.bradley.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jonathan,Reynolds,Jonathan Reynolds,"Reynolds, Jonathan",Labour,Stalybridge and Hyde,jonathan.reynolds.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,McPartland,Stephen McPartland,"McPartland, Stephen",Conservative,Stevenage,,House of Commons,London,SW1A 0AA
Alyn,Smith,Alyn Smith,"Smith, Alyn",Scottish National Party,Stirling,alyn.smith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Navendu,Mishra,Navendu Mishra,"Mishra, Navendu",Labour,Stockport,navendu.mishra.mp@parliament.uk,House of Commons,London,SW1A 0AA
